CAS-nr.:c1.i:c2.i:c3.i
75-07-0:1.19343:-2.05829:3.58913
60-35-5:1.15411:0:0
75-05-8:1.10072:-1.05284:1.33826
67-64-1:0.97946:-0.27474:0.27841
107-15-3:1.3873:-1.7134:3.1081
106-93-4:0.88581:-0.57469:1.27175
74-96-4:0.99814:-1.0474:1.19421
107-21-1:1.25835:0:0
75-03-6:0.72879:0:0
64-17-5:1.3327:0.96946:-3.1879
60-29-7:0.9084:-0.00625:0.024
75-21-8:0.78776:0.01111:-0.12867
107-18-6:1.3189:0.30358:-1.3004
64-18-6:1.08545:-0.88879:0.8129
109-94-4:0.91636:-0.06979:0.17409
62-53-3:1.23512:-1.62382:3.45596
100-66-3:0.97849:0:0
109-06-8:1.02:-0.81834:1.825
80-56-8:0.96976:0:0
141-78-6:1.0408:-0.17686:0.49506
78-92-2:1.2365:0.21667:1.94166
100-51-6:0.88398:1.24867:-0.94047
100-41-4:1.0026:-0.58093:1.2097
108-86-1:0.95208:-0.77161:1.5658
108-90-7:0.81651:0.33097:-0.65335
106-46-7:0.61751:2.1786:-3.8932
100-47-0:1.0129:0.04572:-0.28783
98-95-3:1.4767:-2.7519:4.5743
71-43-2:0.8356:-0.375:0.9715
74-90-8:1.62716:-5.00731:10.34189
109-65-9:1.24257:-1.69961:2.32626
7726-95-6:0.68333:0:0
111-76-2:1.23895:0:0
71-36-3:1.0818:2.3141:-4.1355
78-93-3:1.0746:-0.77001:1.095
106-97-8:0.84209:-0.46406:0.84619
156-59-2:0.861:-0.40962:0.68902
107-07-3:2.06201:-5.08601:8.87183
109-69-3:0.80537:0.04767:0.40461
67-66-3:0.80821:-0.02138:0.0529
108-39-4:1.16481:-0.28602:1.33197
110-82-7:0.84082:-0.39847:0.94148
287-92-3:0.77594:0:0
110-83-8:0.98149:-0.84401:1.11035
108-87-2:0.93:-0.82199:1.8218
96-37-7:0.89391:-0.53959:1.1464
142-96-1:1.33492:-0.87345:1.06222
110-45-2:1.08483:0:0
124-18-5:1.2407:-0.34943:0.7327
